recipe_tag	coefficient
crisp	0.0680350780206514
crispy	0.020417084720631237
croissant	0.06450762832182358
croissants	0.057528383641043734
crumble	0.07075694781125436
crust	0.009581616169637009
cucumber	0.07635577877097682
cumin	-0.023333270016259903
cupcakes	-0.006836130647978907
custard	0.00684994929873458
custardy	-0.003079124888518478
customizable	-0.01347585023548817
danish	-0.15805419027063708
dashibroth	0.0033238522842815874
dates	-0.05840032468339401
decadent	0.03130439663475652
dessert	0.22414615632044174
dinner	0.010648688944961916
dip	-0.06439611022174495
donuts	-0.05369731802213662
easterneuropean	0.03971158335336936
easy	0.05700098681720763
easydinner	-0.007665921291950376
egg	0.015945706988948694
eggs	0.040288203172048453
eggwhites	0.04718479854336725
fajitaseasoning	0.06330809895429536
fall	0.03539561538688901
familyfriendly	0.0887778203490849
fastfood	0.013603924615850306
fetacheese	-0.004495391612496507
filling	0.00025196359799222433
fingerfood	0.07317621862077256
flaky	0.04079112393359687
french	0.09314176447841208
frenchcuisine	0.048075545896045874
frenchpastry	0.04664981999960975
fresh	-0.006995219966123609
fried	0.027149240195714575
friedfood	0.022814455199363714
friedrice	0.013727813833480394
fries	0.007127247258924445
frosting	0.023675748417614117
fruit	0.0022829958676110484
fudgy	-0.008407186718612843
gamedayfood	0.08966991096881412
ganache	0.006794345839593572
garlic	0.04766348372553222
ginger	0.0760433111201749
glutenfree	-0.06061651869401613
goldenbrown	0.02793683168994865
greenbeans	-0.027310389644691287
greenonion	-0.028379827394642683
greenonions	-0.04252528563633742
grill	-0.01185867214279855
grilled	-0.06642234149059029
grilling	-0.006297421288095731
groundbeef	0.013806450063007313
gruyere	0.0986788767484279
gruyerecheese	-0.04230184370045446
guacamole	-0.02962190977896828
hamandcheese	-0.15805419027063708
hamburger	-0.05963090304090829
handheld	-0.01347585023548817
handtorndough	-0.03898215523559007
hawaii	-0.05963090304090829
hawaiian	0.05773387369367903
healthy	-0.019016280784582694
herbs	-0.06747518894868831
holiday	-0.10353753584637915
homemade	0.026711050380111137
indulgent	-0.006836130647978907
italian	-0.01816387720345573
italiancuisine	0.07427007350632
jalapenos	0.007127247258924445
japanesecuisine	-0.012376764581393956
juicy	-0.06636305851599163
ketchup	-0.05963090304090829
keto	-0.05325518040368084
kidfriendly	0.07317621862077256
koreancuisine	-0.03898215523559007
laminateddough	-0.05296817827586035
lasagna	0.029483489011699417
lattice	0.009581616169637009
lettuce	-0.04130971559349482
lime	-0.02872668727065629
loadednachos	0.08254266370988968
lowcarb	-0.05325518040368084
lunch	0.010648688944961916
macandcheese	-0.00010586948116254446
maple	-0.05369731802213662
maplesyrup	0.011644011459383086
masa	-0.005581836780808342
mayonnaise	-0.05963090304090829
meal	0.013603924615850306
mealprep	-0.011852368839163147
meat	-0.008503305488002828
meatsauce	0.00835882492592789
mexican	0.013794626098561122
mexicancuisine	-0.01985463246416699
mexicanfood	0.08254266370988968
middleeastern	0.051018125001131696
miso	-0.0432032385027845
muffins	-0.011852368839163147
mushroom	-0.03422993274694012
mushrooms	-0.0432032385027845
nachos	0.17815910926037218
noodles	-0.03217212602643196
noodlesoup	-0.0432032385027845
nori	0.05773387369367903
numbing	0.07927682481149956
nutmeg	0.021053706316797177
oat	0.05209049860978205
oats	-0.025114818558061837
onion	-0.019578808429050656
onions	0.03997482893803546
onthego	0.05773387369367903
oven	0.035110369953646525
oysters	-0.0006662565795083268
pacificislands	-0.05963090304090829
pancakes	0.011644011459383086
parmesan	0.0986788767484279
partyfood	-0.011527083924592993
pasta	0.04764150189577383
pastasauce	0.00835882492592789
pastry	-0.020908703512908862
pastrycrust	-0.03922271881193598
peach	0.08364763763091365
peanutbutter	0.03384637477281183
peanutdressing	-0.03486395992744425
peanuts	-0.07353821775770378
peppers	0.06330809895429536
pickledvegetables	0.1060442387541029
pie	0.03611543605177708
piecrust	-0.004495391612496507
pork	-0.07353821775770378
porkbelly	-0.0432032385027845
potatoes	0.0006779528664470768
protein	-0.011852368839163147
puffpastry	0.035110369953646525
quiche	0.001036715233583927
quick	0.029884300745335393
ramen	-0.0432032385027845
refreshing	0.015503589904560041
relish	-0.0489778495327854
rhubarb	0.015503589904560041
rice	0.05773387369367903
ricevinegar	-0.028379827394642683
rich	0.03130439663475652
ricotta	-0.013635776636198946
salad	0.013882900422773577
salsa	-0.047129476889334734
salty	-0.00010586948116254446
sandwich	0.015945706988948694
sauce	-0.0489778495327854
savory	0.05870051394494192
scallions	0.0025050933624711225
scallops	-0.006791438449681992
seafood	-0.05273727155287612
sesame	0.013863470094162864
sesameoil	-0.028379827394642683
sesameseeds	-0.028379827394642683
shrimp	-0.006297421288095731
sichuancuisine	0.00573860705379578
sichuanpeppercorns	0.0025050933624711225
sidedish	-0.01785625107045745
sidedishes	-0.027310389644691287
skewers	-0.006297421288095731
smoky	-0.05274111416367378
snack	0.1861138129924515
snacks	-0.020183142385766843
sobanoodles	0.06987164623817527
soft	0.02793683168994865
souffle	0.0649277600796064
soup	-0.011479533598481115
sourcream	0.03540007667177963
southern	0.05693658725080251
southerncuisine	-0.0006662565795083268
soysauce	-0.055350158701475666
spam	-0.0018970293472292607
spices	-0.06747518894868831
spicy	-0.03065400150881087
spicyfood	0.02348071177887204
spinach	-0.008407806081399852
spring	0.006352823686670456
steamed	-0.005581836780808342
stirfry	0.003233513691324663
strawberry	0.015503589904560041
streetfood	0.060166003842737334
stuffedpeppers	0.02348071177887204
summer	0.0420850703902486
sushi	0.05773387369367903
sweet	0.14538631956153703
sweetandsalty	-0.12415169157995672
sweetandsavory	-0.04205330656275354
sweettreat	0.0996179982754701
taco	0.02103198074860639
tacos	0.009147878841605634
tangy	-0.08245210916101077
tart	-0.0489778495327854
tea	0.06450762832182358
tempura	0.0033238522842815874
tender	0.041540756305798954
texmex	0.06330809895429536
thanksgiving	-0.0979556990655708
toast	0.015945706988948694
tomato	0.013667222552862013
tomatoes	0.027494280214499595
tomatosauce	-0.005993953018595632
tortilla	-0.023333270016259903
tortillabowl	0.02103198074860639
tortillachips	0.02771487960161144
tortillas	0.06398605182074243
traditional	-0.005581836780808342
twisted	0.03971158335336936
udonnoodles	0.0033238522842815874
vanilla	0.04718479854336725
vanillaicecream	-0.025114818558061837
vegan	0.11242407561343376
vegetables	-0.01890151771543922
vegetarian	0.007338271457076717
warm	0.035110369953646525
whippedcream	-0.025114818558061837
winter	0.03539561538688901
yeastdough	0.03971158335336936
